like1,para,parb,parc,pard,parm,chain
0.30132613,0.03901482,1.5221108,0.31845045,0.42954436,0.4120082,0.0
0.16455786,0.63037634,4.592976,0.01451851,0.641059,0.44156665,1.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,2.0
0.23534948,0.05006728,1.1548275,0.5740788,0.52501225,0.52583164,3.0
0.27085453,0.26407138,7.7964215,0.0007028096,0.87053657,0.6852851,4.0
0.22626877,0.3012203,5.675585,0.48439875,0.4669912,0.7641789,5.0
-0.11921541,0.9546346,1.4352901,0.30040735,0.82079875,0.36987907,6.0
0.10844428,0.80432016,6.2214403,0.20711102,0.406596,0.795074,7.0
0.1370524,0.766403,6.750465,0.22928412,0.5860515,0.8779412,8.0
0.18229172,0.41183716,2.5317268,0.61164886,0.7070903,0.7620336,9.0
0.26497403,0.05006728,6.4783964,0.6544047,0.67838204,0.54754615,3.0
0.16682687,0.766403,6.750465,0.5740788,0.52501225,0.52583164,7.0
0.31994456,0.32599774,1.4352901,0.30040735,0.82079875,0.36987907,3.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,5.0
-0.11921541,0.9546346,1.4352901,0.30040735,0.82079875,0.36987907,8.0
-0.11921541,0.9546346,1.4352901,0.30040735,0.82079875,0.36987907,4.0
-0.11921541,0.9546346,1.4352901,0.30040735,0.82079875,0.36987907,5.0
-0.23328519,0.9546346,1.4352901,0.6544047,0.67838204,0.54754615,5.0
0.26011547,0.32599774,6.4783964,0.0007028096,0.87053657,0.6852851,0.0
0.25969553,0.32599774,7.7964215,0.0007028096,0.87053657,0.6852851,2.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,4.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,9.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,5.0
0.3562394,0.03901482,1.5221108,0.31845045,0.67838204,0.54754615,8.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,9.0
0.25969553,0.32599774,7.7964215,0.0007028096,0.87053657,0.6852851,6.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,7.0
0.25969553,0.32599774,7.7964215,0.0007028096,0.87053657,0.6852851,6.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,3.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,3.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,9.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,5.0
0.10844428,0.80432016,6.2214403,0.20711102,0.406596,0.795074,9.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,8.0
0.2353949,0.32599774,6.4783964,0.6544047,0.67838204,0.795074,6.0
0.38475513,0.03901482,1.5221108,0.31845045,0.87053657,0.6852851,4.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,5.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,6.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,2.0
0.2353949,0.32599774,6.4783964,0.6544047,0.67838204,0.795074,8.0
0.3071915,0.03901482,7.7964215,0.0007028096,0.87053657,0.6852851,6.0
0.23608017,0.32599774,6.4783964,0.6544047,0.87053657,0.6852851,3.0
0.13339975,0.80432016,7.7964215,0.0007028096,0.87053657,0.6852851,2.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,6.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,9.0
0.3562394,0.03901482,1.5221108,0.31845045,0.67838204,0.54754615,4.0
0.23545584,0.32599774,6.4783964,0.6544047,0.67838204,0.8779412,0.0
0.26116136,0.03901482,1.5221108,0.6544047,0.67838204,0.54754615,5.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,9.0
0.26011547,0.32599774,6.4783964,0.0007028096,0.87053657,0.6852851,4.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,6.0
0.26011547,0.32599774,6.4783964,0.0007028096,0.87053657,0.6852851,1.0
0.3562394,0.03901482,1.5221108,0.31845045,0.67838204,0.54754615,1.0
0.23545584,0.32599774,6.4783964,0.6544047,0.67838204,0.8779412,2.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,6.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,6.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,1.0
0.10821262,0.80432016,6.2214403,0.20711102,0.406596,0.54754615,9.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,4.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,7.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,5.0
0.10835439,0.80432016,6.2214403,0.20711102,0.406596,0.6852851,1.0
0.3562394,0.03901482,1.5221108,0.31845045,0.67838204,0.54754615,6.0
0.25969553,0.32599774,7.7964215,0.0007028096,0.87053657,0.6852851,0.0
0.26116136,0.03901482,1.5221108,0.6544047,0.67838204,0.54754615,7.0
0.3562394,0.03901482,1.5221108,0.31845045,0.67838204,0.54754615,0.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,8.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,9.0
0.29576525,0.03901482,1.5221108,0.31845045,0.406596,0.795074,5.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,2.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,9.0
0.26011547,0.32599774,6.4783964,0.0007028096,0.87053657,0.6852851,1.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,5.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,1.0
0.26116136,0.03901482,1.5221108,0.6544047,0.67838204,0.54754615,3.0
0.103813864,0.80432016,6.2214403,0.20711102,0.67838204,0.54754615,6.0
0.103813864,0.80432016,6.2214403,0.20711102,0.67838204,0.54754615,2.0
0.24465606,0.32599774,6.4783964,0.6544047,0.406596,0.795074,5.0
0.26011547,0.32599774,6.4783964,0.0007028096,0.87053657,0.6852851,4.0
0.25969553,0.32599774,7.7964215,0.0007028096,0.87053657,0.6852851,0.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,0.0
0.10844428,0.80432016,6.2214403,0.20711102,0.406596,0.795074,1.0
0.3562394,0.03901482,1.5221108,0.31845045,0.67838204,0.54754615,8.0
0.3562394,0.03901482,1.5221108,0.31845045,0.67838204,0.54754615,8.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,1.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,0.0
0.26116136,0.03901482,1.5221108,0.6544047,0.67838204,0.54754615,0.0
0.49130005,0.03901482,1.5221108,0.0007028096,0.87053657,0.6852851,6.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,6.0
0.3562394,0.03901482,1.5221108,0.31845045,0.67838204,0.54754615,1.0
0.3562394,0.03901482,1.5221108,0.31845045,0.67838204,0.54754615,6.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,4.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,4.0
0.26116136,0.03901482,1.5221108,0.6544047,0.67838204,0.54754615,4.0
0.25969553,0.32599774,7.7964215,0.0007028096,0.87053657,0.6852851,4.0
0.25969553,0.32599774,7.7964215,0.0007028096,0.87053657,0.6852851,3.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,5.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,4.0
0.38475513,0.03901482,1.5221108,0.31845045,0.87053657,0.6852851,0.0
0.26011547,0.32599774,6.4783964,0.0007028096,0.87053657,0.6852851,8.0
0.26011547,0.32599774,6.4783964,0.0007028096,0.87053657,0.6852851,4.0
0.108023845,0.80432016,6.2214403,0.20711102,0.406596,0.4120082,3.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,9.0
0.3562394,0.03901482,1.5221108,0.31845045,0.67838204,0.54754615,3.0
0.26116136,0.03901482,1.5221108,0.6544047,0.67838204,0.54754615,7.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,0.0
0.26116136,0.03901482,1.5221108,0.6544047,0.67838204,0.54754615,1.0
0.23514238,0.32599774,6.4783964,0.6544047,0.67838204,0.54754615,0.0
